OBJECT_NAME,OBJECT_ID,epoch_iso,mm_rev_day,ecc,inc_deg,raan_deg,argp_deg,mean_anom_deg,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,norad,ELEMENT_SET_NO,REV_AT_EPOCH,bstar,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,"Invalid query: ""GROUP=rocket-bodies&FORMAT=csv"" (GROUP=rocket-bodies not found)",label
GEESAT-4 A,2025-170A,2025-09-04T22:34:52.912416,14.86557973,0.001441,49.9864,58.2689,37.0653,323.1279,0.0,U,65119,999.0,406.0,0.00053881425,4.601e-05,0.0,,Payload
GEESAT-4 B,2025-170B,2025-09-04T22:22:03.914400,14.86371242,0.00085841,49.9839,58.2134,70.7537,289.4331,0.0,U,65120,999.0,408.0,0.00055842661,4.751e-05,0.0,,Payload
GEESAT-4 C,2025-170C,2025-09-04T05:30:59.243904,14.8610156,0.00195839,49.991,61.1663,40.8304,319.4099,0.0,U,65121,999.0,395.0,0.00068359832,5.843e-05,0.0,,Payload
GEESAT-4 D,2025-170D,2025-09-05T03:55:16.773312,14.8637616,0.0010236,49.9818,56.7221,56.9133,303.2787,0.0,U,65122,999.0,409.0,0.00051552,4.369e-05,0.0,,Payload
GEESAT-4 E,2025-170E,2025-09-04T22:32:45.990816,14.86385926,0.00207508,49.9913,58.2658,32.0954,328.1245,0.0,U,65123,999.0,405.0,0.00055176775,4.705e-05,0.0,,Payload
GEESAT-4 F,2025-170F,2025-09-04T22:11:05.295840,14.86381711,0.00178631,49.983,58.1557,24.8192,335.3603,0.0,U,65124,999.0,405.0,0.00055254859,4.708e-05,0.0,,Payload
GEESAT-4 G,2025-170G,2025-09-04T21:49:44.249952,14.86424932,0.00178916,49.9916,58.0844,45.1642,315.0747,0.0,U,65125,999.0,405.0,0.00056117431,4.79e-05,0.0,,Payload
GEESAT-4 H,2025-170H,2025-09-01T17:27:11.757024,14.88233916,0.00075456,49.9791,72.6369,83.7706,276.4094,0.0,U,65126,999.0,358.0,0.00065000222,5.837e-05,0.0,,Payload
GEESAT-4 J,2025-170J,2025-09-04T22:54:26.017920,14.83734131,0.0017455,49.9886,57.629,40.9478,319.2768,0.0,U,65127,999.0,406.0,0.00047396,3.744e-05,0.0,,Payload
GEESAT-4 K,2025-170K,2025-09-04T22:00:31.091328,14.86377491,0.0032438,49.9924,58.1264,51.3785,309.0051,0.0,U,65128,999.0,405.0,0.00055584665,4.765e-05,0.0,,Payload
GEESAT-4 L,2025-170L,2025-09-02T06:14:36.638592,14.90235029,0.00156707,49.9958,70.1086,49.3425,310.8876,0.0,U,65129,999.0,366.0,0.00071928708,6.833e-05,0.0,,Payload
KUIPER-00081,2025-171A,2025-09-03T05:31:34.025088,15.36124698,0.00050201,51.8759,295.1419,200.8955,159.1827,0.0,U,65132,999.0,474.0,0.0018003502,0.00064523,0.0,,Payload
KUIPER-00088,2025-171B,2025-09-04T09:38:48.607872,15.36196541,0.00045065,51.8763,289.4964,204.4634,155.6139,0.0,U,65133,999.0,492.0,0.0010300857,0.00036699,0.0,,Payload
KUIPER-00095,2025-171C,2025-09-04T09:52:03.372960,15.35525131,0.00043478,51.8754,289.5515,238.4735,121.5826,0.0,U,65134,999.0,492.0,0.0011495212,0.00040137,0.0,,Payload
KUIPER-00096,2025-171D,2025-09-04T09:46:49.077408,15.357848,0.00041847,51.8753,289.5262,224.8567,135.2081,0.0,U,65135,999.0,492.0,0.00057618558,0.00020041,0.0,,Payload
KUIPER-00097,2025-171E,2025-09-04T09:53:30.566112,15.35477908,0.00043048,51.8755,289.5579,240.9791,119.0764,0.0,U,65136,999.0,491.0,0.00057374206,0.00019756,0.0,,Payload
KUIPER-00098,2025-171F,2025-09-04T09:37:50.188512,15.36167607,0.00049199,51.8761,289.4899,203.8977,156.1781,0.0,U,65137,999.0,426.0,0.0011845955,0.00042255,0.0,,Payload
KUIPER-00099,2025-171G,2025-09-04T09:41:14.731008,15.36010198,0.00049242,51.8764,289.5081,211.9552,148.1136,0.0,U,65138,999.0,491.0,0.00061579262,0.00021609,0.0,,Payload
KUIPER-00100,2025-171H,2025-09-04T09:45:18.903456,15.35763873,0.00044492,51.8754,289.5195,222.2914,137.773,0.0,U,65139,999.0,491.0,0.00052374621,0.00018165,0.0,,Payload
KUIPER-00102,2025-171J,2025-09-04T09:52:00.750720,15.35534026,0.00041002,51.8751,289.5487,233.0817,126.9793,0.0,U,65140,999.0,491.0,0.0012729653,0.00044526,0.0,,Payload
KUIPER-00103,2025-171K,2025-09-04T09:47:59.605728,15.35702825,0.00038147,51.8753,289.5308,223.7968,136.2716,0.0,U,65141,999.0,491.0,0.0005648932,0.00019586,0.0,,Payload
KUIPER-00104,2025-171L,2025-09-04T09:46:33.291264,15.35758585,0.0003928,51.8765,289.533,223.6584,136.4092,0.0,U,65142,999.0,491.0,0.0011913627,0.00041935,0.0,,Payload
KUIPER-00105,2025-171M,2025-09-04T09:35:43.905408,15.36322069,0.00051303,51.8763,289.4806,201.5275,158.5497,0.0,U,65143,999.0,492.0,0.0008517141,0.00030377,0.0,,Payload
KUIPER-00106,2025-171N,2025-09-04T09:43:07.572864,15.35991875,0.00045084,51.8754,289.5094,212.4045,147.6665,0.0,U,65144,999.0,492.0,0.0012672549,0.00044989,0.0,,Payload
KUIPER-00107,2025-171P,2025-09-04T11:18:07.559712,15.35880221,0.00047283,51.8767,289.2099,219.7618,140.3022,0.0,U,65145,999.0,493.0,0.0012960496,0.00045861,0.0,,Payload
KUIPER-00108,2025-171Q,2025-09-04T09:52:55.742592,15.35384514,0.00047663,51.8768,289.5617,239.7765,120.275,0.0,U,65146,999.0,492.0,0.00057724169,0.0001982,0.0,,Payload
KUIPER-00109,2025-171R,2025-09-04T09:40:35.920992,15.3602791,0.00046969,51.8759,289.5006,209.8357,150.2362,0.0,U,65147,999.0,491.0,0.0010620768,0.0003765,0.0,,Payload
KUIPER-00110,2025-171S,2025-09-04T09:42:13.583232,15.36042338,0.00045298,51.8765,289.5132,211.833,148.2383,0.0,U,65148,999.0,491.0,0.001104395,0.00039191,0.0,,Payload
KUIPER-00111,2025-171T,2025-09-04T09:48:16.230816,15.35755015,0.00039347,51.8766,289.5408,229.8599,130.2043,0.0,U,65149,999.0,491.0,0.00059955345,0.00020851,0.0,,Payload
KUIPER-00112,2025-171U,2025-09-04T09:54:25.811136,15.35396369,0.00045735,51.8762,289.5667,245.4494,114.6015,0.0,U,65150,999.0,491.0,0.0010948451,0.00038042,0.0,,Payload
KUIPER-00114,2025-171V,2025-09-04T22:00:03.000096,15.32818277,0.00042156,51.8768,287.1296,229.4014,33.9339,0.0,U,65151,999.0,421.0,-0.017659088,-0.00530349,0.0,,Payload
KUIPER-00115,2025-171W,2025-09-04T08:08:53.824704,15.35948403,0.00047391,51.8757,289.8215,208.5027,151.5701,0.0,U,65152,999.0,490.0,0.0011310184,0.00040029,0.0,,Payload
KUIPER-00116,2025-171X,2025-09-04T11:22:38.457408,15.35574355,0.00042769,51.8764,289.2296,232.7724,127.2873,0.0,U,65153,999.0,492.0,0.0010815208,0.00037788,0.0,,Payload
KUIPER-00118,2025-171Y,2025-09-04T09:52:29.893440,15.35529765,0.00038248,51.8762,289.5568,235.7198,124.3426,0.0,U,65154,999.0,491.0,0.00057952017,0.00019992,0.0,,Payload
KUIPER-00119,2025-171Z,2025-09-04T09:37:56.843040,15.36299546,0.00065597,51.8759,289.4885,213.4204,146.6369,0.0,U,65155,999.0,491.0,0.0026992168,0.00097936,0.0,,Payload
METOP-SGA1,2025-172A,2025-09-04T20:48:03.514176,14.23131096,0.00066824,98.7052,307.0242,317.0515,43.0141,0.0,U,65159,999.0,324.0,6.7471264e-05,1.08e-06,0.0,,Payload
HULIANWANG DIGUI 8A,2025-174A,2025-09-04T19:16:22.573920,13.35256354,0.00012212,86.5046,348.4013,77.7458,282.3819,0.0,U,65164,999.0,301.0,0.00020749394,1.2e-06,0.0,,Payload
HULIANWANG DIGUI 8B,2025-174B,2025-09-04T12:13:02.324352,13.33763705,0.00015264,86.498,348.498,74.4131,285.7177,0.0,U,65165,999.0,297.0,-2.555453e-06,1.4e-07,0.0,,Payload
HULIANWANG DIGUI 8C,2025-174C,2025-09-04T14:06:12.800160,13.33420245,0.00018311,86.5042,348.4805,76.6652,283.4692,0.0,U,65166,999.0,298.0,0.00029390201,1.59e-06,0.0,,Payload
HULIANWANG DIGUI 8D,2025-174D,2025-09-04T12:25:34.056192,13.33460501,0.00016638,86.5084,348.5139,52.1512,307.9777,0.0,U,65167,999.0,297.0,0.00019089684,1.09e-06,0.0,,Payload
HULIANWANG DIGUI 8E,2025-174E,2025-09-02T13:42:07.249536,13.34618882,0.00016184,86.4988,349.169,83.1179,277.0145,0.0,U,65168,999.0,271.0,1.5049207e-05,2.3e-07,0.0,,Payload
HULIANWANG DIGUI 8F,2025-174F,2025-09-04T12:39:28.381248,13.32184345,0.00011947,86.5031,348.5152,73.7798,286.3472,0.0,U,65169,999.0,297.0,3.6331227e-05,3.2e-07,0.0,,Payload
HULIANWANG DIGUI 8G,2025-174G,2025-09-04T12:45:54.745632,13.31606484,0.00013421,86.4977,348.5051,96.8814,263.2477,0.0,U,65170,999.0,297.0,6.3051592e-05,4.5e-07,0.0,,Payload
HULIANWANG DIGUI 8H,2025-174H,2025-09-04T00:21:41.234976,13.30545934,0.00014382,86.4958,348.6822,92.8987,267.2315,0.0,U,65171,999.0,290.0,-6.9096794e-05,-1.8e-07,0.0,,Payload
HULIANWANG DIGUI 8J,2025-174J,2025-09-01T07:22:34.676256,13.33356594,0.0001133,86.4999,349.6161,221.1564,138.949,0.0,U,65172,999.0,254.0,0.00024893,1.37e-06,0.0,,Payload
HULIANWANG DIGUI 8K,2025-174K,2025-09-03T17:15:57.409344,13.30627999,0.00021649,86.5013,348.7934,50.307,309.8259,0.0,U,65173,999.0,283.0,-0.0036768063,-1.717e-05,0.0,,Payload
STARLINK-34956,2025-175A,2025-09-04T22:00:03.000096,15.49202428,0.00016413,97.6028,118.825,78.669,184.2656,0.0,U,65174,999.0,463.0,-0.0010905227,-0.00059002,0.0,,Payload
STARLINK-34949,2025-175B,2025-09-04T22:00:03.000096,15.49205716,0.00018255,97.6028,118.8258,81.4716,183.3842,0.0,U,65175,999.0,453.0,-0.001306417,-0.0007057,0.0,,Payload
STARLINK-34707,2025-175C,2025-09-04T22:00:03.000096,15.49277127,0.00011877,97.6026,118.8265,115.5688,151.0695,0.0,U,65176,999.0,469.0,-0.0016762338,-0.00090512,0.0,,Payload
STARLINK-34967,2025-175D,2025-09-04T22:00:03.000096,15.4920253,0.00019036,97.6028,118.8286,94.8249,173.8685,0.0,U,65177,999.0,469.0,-0.0011088308,-0.00059985,0.0,,Payload
STARLINK-34929,2025-175E,2025-09-04T22:00:03.000096,15.49214902,0.00017795,97.6031,118.8297,94.5508,176.068,0.0,U,65178,999.0,469.0,-0.0016456103,-0.00088692,0.0,,Payload
STARLINK-34932,2025-175F,2025-09-04T22:00:03.000096,15.49228548,0.00018218,97.603,118.831,88.8007,185.6481,0.0,U,65179,999.0,469.0,-0.0019451721,-0.00104659,0.0,,Payload
STARLINK-34862,2025-175G,2025-09-04T22:00:03.000096,15.4920578,0.00018206,97.603,118.8326,83.4964,192.8794,0.0,U,65180,999.0,469.0,-0.0012009915,-0.00064929,0.0,,Payload
STARLINK-34942,2025-175H,2025-09-04T22:00:03.000096,15.49201481,0.00018138,97.6031,118.8297,85.1592,187.3915,0.0,U,65181,999.0,463.0,-0.0013384302,-0.0007227,0.0,,Payload
STARLINK-34944,2025-175J,2025-09-04T22:00:03.000096,15.49196657,0.00017284,97.603,118.8333,91.061,187.233,0.0,U,65182,999.0,469.0,-0.00080428959,-0.00043617,0.0,,Payload
STARLINK-34939,2025-175K,2025-09-04T22:00:03.000096,15.49200726,0.00017719,97.6029,118.8334,82.3791,197.8374,0.0,U,65183,999.0,459.0,-0.0010737331,-0.00058099,0.0,,Payload
STARLINK-34947,2025-175L,2025-09-04T22:00:03.000096,15.49201695,0.00018103,97.6029,118.8343,90.361,191.7814,0.0,U,65184,999.0,469.0,-0.0011737807,-0.00063463,0.0,,Payload
STARLINK-34945,2025-175M,2025-09-04T22:00:03.000096,15.49204984,0.00018318,97.6029,118.8348,92.1695,191.8916,0.0,U,65185,999.0,469.0,-0.0012648484,-0.00068345,0.0,,Payload
STARLINK-34965,2025-175N,2025-09-04T22:00:03.000096,15.49204184,0.0001783,97.6032,118.836,88.7743,199.1251,0.0,U,65186,999.0,469.0,-0.0011902591,-0.00064351,0.0,,Payload
STARLINK-34915,2025-175P,2025-09-04T22:00:03.000096,15.49195495,0.00018234,97.6032,118.8351,85.3673,200.6145,0.0,U,65187,999.0,469.0,-0.00092311976,-0.00050005,0.0,,Payload
STARLINK-34972,2025-175Q,2025-09-04T22:00:03.000096,15.49196293,0.00018804,97.6032,118.8377,86.8502,202.9733,0.0,U,65188,999.0,433.0,-0.0008719256,-0.00047256,0.0,,Payload
STARLINK-34866,2025-175R,2025-09-04T22:00:03.000096,15.49210117,0.0001683,97.6034,118.8383,90.3416,201.3996,0.0,U,65189,999.0,469.0,-0.0013836592,-0.00074708,0.0,,Payload
